jid,formula,point_group,n_channels,channels,dominant_channel,coarse_class,fine_class_tol005
JVASP-36745,N6Ti2Re2,C3v,2,s;z3,z3,C15_C3v,F070_C3v_z3
JVASP-36813,O4Mg2Cu2,D2h,3,d;p;s,s,C04_D2h,F045_D2h_s
JVASP-37027,TiGaFeCo,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-37744,N4W2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F034_D4h_z4
JVASP-39019,O3SnB,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-39917,Ru2AlV,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40030,Co2TiBe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41920,Co2ScAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-48246,O7Li4Fe2Si,Ci,2,p;s,s,C16_Ci,F074_Ci_s
JVASP-49767,Ti2O2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F015_D6h_z3
JVASP-53430,O4SbRh,D2h,3,d;p;s,s,C04_D2h,F029_D2h_s
JVASP-56726,B2Rh2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F021_D6h_z3
JVASP-63127,B8Cr2,D2h,3,d;p;s,s,C04_D2h,F094_D2h_s
JVASP-63267,B2Mo,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-63394,B2Mo,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-69674,Be2TiGe,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F035_D4h_z4
JVASP-71448,Be2CuRh,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-74226,Se2SrBe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-7669,Li2Al2,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-7807,B2Y,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-8260,O3YV,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-8492,Fe4S4,D2h,3,d;p;s,s,C04_D2h,F031_D2h_s
JVASP-85705,Y2H2C,D3d,3,p;s;z3,z3,C07_D3d,F107_D3d_z3
JVASP-86420,Sc4Si4Fe2,C2h,3,d;p;s,s,C08_C2h,F065_C2h_s
JVASP-8663,Li4Si2,D3d,3,p;s;z3,s,C07_D3d,F013_D3d_s
JVASP-90839,B6Mo2,D3d,3,p;s;z3,z3,C07_D3d,F108_D3d_z3
JVASP-91700,B4C2N2,D2h,3,d;p;s,s,C04_D2h,F095_D2h_s
JVASP-9308,O8Ti3Ba2Y,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F132_D4h_z4
JVASP-93220,O3SrMo,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-93772,Ta2Ni2B2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-93811,N3Zr2Ta,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F146_D6h_z3
JVASP-94831,B6Sr,Oh,5,d;f;p;s;z3,f,C00_Oh,F156_Oh_f
JVASP-95036,Si4Ti2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-97358,Y2C2I2,C2h,3,d;p;s,s,C08_C2h,F041_C2h_s
JVASP-99606,O3SnGe,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
