jid,formula,point_group,n_channels,channels,dominant_channel,coarse_class,fine_class_tol005
JVASP-39989,Co2HfZn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40261,Rh2LiHf,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40343,Sc2ZnOs,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40502,Rh2BeSi,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40547,Rh2LiV,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40613,Rh2ScCd,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41041,Ta2OsW,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41045,Zn2NiRh,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41105,Rh2LiSn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41690,Ru2GaSi,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41850,Sc2GaOs,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41862,Rh2LiAs,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41868,Sc2NiIr,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41869,Sc2NiOs,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41877,Sc2IrRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41878,Sc2PdRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41894,Sc2AgRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41923,Tc2ScRe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41977,Os2AlV,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-51456,Pd3Ti,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-65030,Be2CuIr,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-66845,Be2SiPt,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-67536,Be2ZnPd,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F037_D4h_z4
JVASP-67710,Zn2ScBe,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-68417,Be2PdRh,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-68512,Be2PdPt,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-69869,Be2PtRh,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-70888,Pd2NaBe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-71268,Be2NiP,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-72942,Be2MgPd,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-74422,Hf2BeTc,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-77079,Be2IrRh,C2h,3,d;p;s,s,C08_C2h,F041_C2h_s
JVASP-118852,As2NaCa,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F012_C4v_s
JVASP-100290,Ca2LiGe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-100385,Hf2AlSi,C2v,2,d;s,s,C09_C2v,F017_C2v_s
JVASP-101565,Ru2HfTa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-105726,Ca2MgCd,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-106482,Al2FeRh,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-107362,Ni2BeSi,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F037_D4h_z4
JVASP-107680,Nb3Os,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-114924,F2ZnN,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-118531,Hf2O2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F010_D4h_z4
JVASP-118722,O2MgTa,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-120274,O2LaAl,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-120283,Li3F,C1,1,s,s,C11_C1,F022_C1_s
JVASP-14508,Ni2As2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F021_D6h_z3
JVASP-14738,Pt3Sc,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-14886,Ir3Ta,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-15403,Ni2ScSn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-15444,Cu2TiAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-15451,Ni2NbAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-15657,Ni2TaAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-16226,Y2Ge2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-16430,Y2Al2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-16432,Al3Y,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-16521,Ni2ScGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-16533,Y2Ga2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-16591,Ni3Sn,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-17402,Ni2LiGe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-17418,Cu2ScAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-17797,Zr3In,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-17814,Ni2ZrIn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-18039,Ni2ScIn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-18219,Ni2TiIn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-18707,Ni2VGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-18768,Al2LiRh,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-19676,Ir3Nb,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-19,Ti2Te2,D6h,5,d;p;s;z3;z6,s,C01_D6h,F055_D6h_s
JVASP-20613,Ti2Sb2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-37107,Sc2MnGe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-37415,Os2TaZn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-37753,Ir2HfAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-38856,Rh2MgZn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-38883,Ru2MgSb,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-38893,Sc2MgIn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39118,Sc2AlAg,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39121,Sc2AlCd,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39222,Rh3Sb,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-39656,Re2TiNb,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39744,Sc2LiRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39819,Ru2GaGe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39905,Al2IrRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39970,Os2MgTa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40064,Ti2ZnTc,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40224,Sc2CoOs,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40237,Os2TaTi,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40420,Al2RuRh,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40504,Rh2ScZn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40525,Sc2CuOs,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40528,Ca2LiGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41242,Os2HfSc,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41679,Y2MgAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41696,Ti2AlRe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41840,Sc2ZnTc,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41857,Sc2GaTc,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41865,Sc2CuRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41866,Sc2GaAg,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41896,Sc2AlOs,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41900,Sc2AlTc,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41902,Sc2AlRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-42110,Sc2LiOs,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-67276,Be2NiPt,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-67731,Tc2ScBe,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-68481,Be2GaOs,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-69411,Be2CuRh,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-70620,Be2MnTc,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-70927,Nb2BeIr,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F043_C4v_z4
JVASP-74312,Be2HfNi,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F012_C4v_s
JVASP-7864,Pt3Al,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-7935,Co2ZnGe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-79486,Sc2MgRu,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F025_D4h_s
JVASP-79902,Sc2LiAu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-80007,Ga2CoRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-99643,Zr3Ga,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-99747,Al2NiOs,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-103278,Os2MgNb,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-103327,V2OsW,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-106126,Co2BeGe,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-108163,Al2CoNi,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-110823,Ni2MgAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-100010,As2CoNi,D3d,3,p;s;z3,z3,C07_D3d,F102_D3d_z3
JVASP-100039,Ni2AlV,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F036_D4h_z4
JVASP-100143,Co2AlGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-100202,Ru2MgV,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-100332,Ti2AlCr,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F010_D4h_z4
JVASP-100606,Sc2LiGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-101034,Ti3In,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-101418,Co2ZnGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-102919,Fe2BeCr,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-103281,Rh2MgSb,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-105802,Pd2LiZr,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-106325,Ni2TiAl,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-113986,N2CuB,D2d,5,d;d_x2y2;d_xy;s;z4,z4,C10_D2d,F081_D2d_z4
JVASP-115711,Br2RbPd,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F018_C4v_s
JVASP-117955,Ca2C2,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F016_D4h_s
JVASP-118212,F3Cu,Ci,2,p;s,s,C16_Ci,F073_Ci_s
JVASP-118627,O3Li,C1,1,s,s,C11_C1,F022_C1_s
JVASP-11968,Ni3Al,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-120970,Cl2RbMo,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F012_C4v_s
JVASP-13745,Ca2Si2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-13861,Zr2N2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F140_D6h_z3
JVASP-14710,Co2Se2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F021_D6h_z3
JVASP-14933,Zr2S2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F010_D4h_z4
JVASP-14996,Co2Sb2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F015_D6h_z3
JVASP-15345,C2YCo,C2v,2,d;s,s,C09_C2v,F028_C2v_s
JVASP-15771,Ni2TiAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-15912,Ni2LiSi,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-16164,S2V,D3d,3,p;s;z3,s,C07_D3d,F013_D3d_s
JVASP-16170,S2LiTi,D3d,3,p;s;z3,z3,C07_D3d,F032_D3d_z3
JVASP-16224,Sc2Si2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-16225,Sc2Ge2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-16365,Al3Li,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-16372,Ni2ScAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-16526,Sc2Ga2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-16586,Nb2Rh2,D2h,3,d;p;s,s,C04_D2h,F024_D2h_s
JVASP-17275,Co2LiGe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-17282,Ni2B2,D2h,3,d;p;s,s,C04_D2h,F090_D2h_s
JVASP-17902,S2CaTi,D3d,3,p;s;z3,z3,C07_D3d,F032_D3d_z3
JVASP-17925,Ni3Ge,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-18033,Zn3Ti,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-18706,Ni2TiGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-18919,Rh3Sc,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-18923,Nb2S2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-19853,Ni3Si,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-20381,Ti2Cu2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F026_D4h_z4
JVASP-20399,Al3Sc,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-20590,Ir3Hf,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-332,Ti2Se2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-36667,Zr2N2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F015_D6h_z3
JVASP-37214,Sc3Al,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-38823,Ru2MgNb,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-38825,Nb3Ru,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-38887,Sc2MgAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39112,Sc2AlCu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39667,Tc2TiRe,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40063,Ti3Zn,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-40342,Sc2ZnGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40424,Al2FeNi,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40500,Sc2CoRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40509,Al2NiRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41668,Ti2NiMo,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41867,Sc2GaCu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
